Search Title,Job Title,Company,Location,Salary Min,Salary Max,Category,Created,URL
Global Logistics Coordinator,Equipment Specialist & Project Manager,Ivoclar North America,"Somerset, Somerset County",58229.98,58229.98,Engineering Jobs,2025-09-14T18:25:00Z,https://www.adzuna.com/details/5399649523?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Executive Personal Assistant,C-Suite Assistants,"Mckinney, Collin County",120668.32,120668.32,IT Jobs,2025-09-19T20:56:00Z,https://www.adzuna.com/land/ad/5407926456?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=89C5B93C24A8EF168E6D198CDD5EF7FDA69B9E0C
Global Logistics Coordinator,"Sourcing Engineer, New Product Introduction",Kollmorgen Corporation,"Radford, Virginia",81254.83,81254.83,Engineering Jobs,2025-05-06T21:28:12Z,https://www.adzuna.com/details/5184377393?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Executive Assistant to the CEO,Aspira Connect,"Highland Park, Dallas",84090.69,84090.69,Admin Jobs,2025-09-06T09:29:34Z,https://www.adzuna.com/details/5386768401?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Precious Metals Analyst,StoneX,"Winter Park, Orange County",125163.87,125163.87,Accounting & Finance Jobs,2025-09-11T11:37:41Z,https://www.adzuna.com/details/5394257541?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Chief of Staff to the Global Chief Human Resources Officer (Washington),FGS Global,"Mount Rainier, Prince George's County",157697.11,157697.11,HR & Recruitment Jobs,2025-09-10T14:29:28Z,https://www.adzuna.com/details/5392590230?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Global Logistics Specialist- Bilingual Portuguese/Spanish,iHerb,"Irvine, Orange County",54063.0,115850.0,Logistics & Warehouse Jobs,2025-08-14T20:39:35Z,https://www.adzuna.com/details/5353199943?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Logistics Coordinator,"US Tech Solutions, Inc.","Foxborough, Norfolk County",72885.34,72885.34,Logistics & Warehouse Jobs,2025-09-18T08:27:48Z,https://www.adzuna.com/details/5404767276?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Sr. Executive Administrative Assistant,J&J Family of Companies,"New Brunswick, Middlesex County",109398.31,109398.31,Admin Jobs,2025-09-17T19:16:01Z,https://www.adzuna.com/land/ad/5404175419?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=991B874B7DF2CB55D38B90D368D457F7E45F7F99
Global Logistics Coordinator,Distribution Mobility Planner,JMark Services,"Honolulu, Hawaii",98987.46,98987.46,Logistics & Warehouse Jobs,2025-06-07T05:39:23Z,https://www.adzuna.com/details/5238336553?utm_medium=api&utm_source=866ee2f8
